Created with UCDetector 1.10.0	2016-05-14 13:33:23	http://www.ucdetector.org/	
net.sf.freecol.common.model.pathfinding.CostDeciders.getComposedCostDecider(CostDeciders.java:222)	Method "CostDeciders.getComposedCostDecider(CostDecider[])" has 0 references	CostDeciders.getComposedCostDecider(CostDecider[])	org.ucdetector.analyzeMarkerReference	
net.sf.freecol.common.model.pathfinding.CostDeciders.serverAvoidIllegal(CostDeciders.java:318)	Method "CostDeciders.serverAvoidIllegal()" has 0 references	CostDeciders.serverAvoidIllegal()	org.ucdetector.analyzeMarkerReference	
net.sf.freecol.common.model.pathfinding.CostDeciders.avoidNavalDanger(CostDeciders.java:351)	Change visibility of Method "CostDeciders.avoidNavalDanger()" to private	CostDeciders.avoidNavalDanger()	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.NationSummary.getTagName(NationSummary.java:221)	Change visibility of Method "NationSummary.getTagName()" to private	NationSummary.getTagName()	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.Turn.initialize(Turn.java:63)	Change visibility of Method "Turn.initialize(int,int,int)" to default	Turn.initialize(int,int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Turn.getStartingYear(Turn.java:76)	Change visibility of Method "Turn.getStartingYear()" to default	Turn.getStartingYear()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Turn.getSeasonYear(Turn.java:85)	Change visibility of Method "Turn.getSeasonYear()" to default	Turn.getSeasonYear()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Turn.yearToTurn(Turn.java:104)	Change visibility of Method "Turn.yearToTurn(int)" to default	Turn.yearToTurn(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Turn.yearToTurn(Turn.java:115)	Change visibility of Method "Turn.yearToTurn(int,int)" to default	Turn.yearToTurn(int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Turn.getYear(Turn.java:160)	Change visibility of Method "Turn.getYear(int)" to default	Turn.getYear(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
